#STIG ID,Legacy Group ID,Legacy Rule ID,Old Rule ID,New Group ID,New Rule ID
WN19-00-000010,V-93369,SV-103457,SV-103457r1_rule,V-205844,SV-205844r569188_rule
WN19-00-000020,V-93473,SV-103559,SV-103559r1_rule,V-205657,SV-205657r569188_rule
WN19-00-000030,V-93205,SV-103293,SV-103293r1_rule,V-205845,SV-205845r569188_rule
WN19-00-000040,V-93207,SV-103295,SV-103295r1_rule,V-205846,SV-205846r569188_rule
WN19-00-000050,V-93461,SV-103547,SV-103547r1_rule,V-205661,SV-205661r569188_rule
WN19-00-000060,V-93209,SV-103297,SV-103297r1_rule,V-205847,SV-205847r569188_rule
WN19-00-000070,V-93437,SV-103523,SV-103523r1_rule,V-205699,SV-205699r569188_rule
WN19-00-000080,V-93379,SV-103465,SV-103465r1_rule,V-205807,SV-205807r569188_rule
WN19-00-000090,V-93213,SV-103301,SV-103301r1_rule,V-205848,SV-205848r569188_rule
WN19-00-000100,V-93215,SV-103303,SV-103303r1_rule,V-205849,SV-205849r569188_rule
WN19-00-000110,V-93217,SV-103305,SV-103305r1_rule,V-205850,SV-205850r569245_rule
WN19-00-000120,V-93219,SV-103307,SV-103307r1_rule,V-205851,SV-205851r569188_rule
WN19-00-000130,V-92991,SV-103079,SV-103079r1_rule,V-205663,SV-205663r569188_rule
WN19-00-000140,V-93019,SV-103107,SV-103107r1_rule,V-205734,SV-205734r569188_rule
WN19-00-000150,V-93021,SV-103109,SV-103109r1_rule,V-205735,SV-205735r569188_rule
WN19-00-000160,V-93023,SV-103111,SV-103111r1_rule,V-205736,SV-205736r569188_rule
WN19-00-000170,V-93025,SV-103113,SV-103113r1_rule,V-205737,SV-205737r569188_rule
WN19-00-000180,V-92993,SV-103081,SV-103081r1_rule,V-205664,SV-205664r569188_rule
WN19-00-000190,V-93457,SV-103543,SV-103543r1_rule,V-205707,SV-205707r569188_rule
WN19-00-000200,V-93439,SV-103525,SV-103525r2_rule,V-205700,SV-205700r569188_rule
WN19-00-000210,V-93475,SV-103561,SV-103561r1_rule,V-205658,SV-205658r569188_rule
WN19-00-000220,V-93203,SV-103291,SV-103291r1_rule,V-205803,SV-205803r569241_rule
WN19-00-000230,V-93531,SV-103617,SV-103617r1_rule,V-205721,SV-205721r569188_rule
WN19-00-000240,V-93221,SV-103309,SV-103309r2_rule,V-205852,SV-205852r569188_rule
WN19-00-000250,V-93515,SV-103601,SV-103601r1_rule,V-205727,SV-205727r569188_rule
WN19-00-000260,V-93543,SV-103629,SV-103629r1_rule,V-205829,SV-205829r569188_rule
WN19-00-000270,V-93381,SV-103467,SV-103467r1_rule,V-205677,SV-205677r569188_rule
WN19-00-000280,V-93571,SV-103657,SV-103657r1_rule,V-214936,SV-214936r569188_rule
WN19-00-000290,V-93567,SV-103653,SV-103653r1_rule,V-205728,SV-205728r569188_rule
WN19-00-000300,V-92975,SV-103063,SV-103063r1_rule,V-205624,SV-205624r569188_rule
WN19-00-000310,V-92977,SV-103065,SV-103065r1_rule,V-205710,SV-205710r569188_rule
WN19-00-000320,V-93383,SV-103469,SV-103469r1_rule,V-205678,SV-205678r569188_rule
